xi,theta,phi
0.458100,0.965240,-0.149832
0.459100,0.965090,-0.150144
0.460100,0.964939,-0.150457
0.461100,0.964789,-0.150769
0.462100,0.964638,-0.151081
0.463100,0.964486,-0.151393
0.464100,0.964335,-0.151705
0.465100,0.964183,-0.152017
0.466100,0.964031,-0.152329
0.467100,0.963878,-0.152641
0.468100,0.963726,-0.152953
0.469100,0.963573,-0.153264
0.470100,0.963419,-0.153576
0.471100,0.963265,-0.153887
0.472100,0.963111,-0.154198
0.473100,0.962957,-0.154510
0.474100,0.962802,-0.154821
0.475100,0.962647,-0.155132
0.476100,0.962492,-0.155443
0.477100,0.962336,-0.155753
0.478100,0.962181,-0.156064
0.479100,0.962024,-0.156375
0.480100,0.961868,-0.156685
0.481100,0.961711,-0.156996
0.482100,0.961554,-0.157306
0.483100,0.961396,-0.157617
0.484100,0.961239,-0.157927
0.485100,0.961080,-0.158237
0.486100,0.960922,-0.158547
0.487100,0.960763,-0.158857
0.488100,0.960604,-0.159166
0.489100,0.960445,-0.159476
0.490100,0.960285,-0.159786
0.491100,0.960125,-0.160095
0.492100,0.959965,-0.160405
0.493100,0.959805,-0.160714
0.494100,0.959644,-0.161023
0.495100,0.959483,-0.161332
0.496100,0.959321,-0.161641
0.497100,0.959159,-0.161950
0.498100,0.958997,-0.162259
0.499100,0.958835,-0.162568
0.500100,0.958672,-0.162877
0.501100,0.958509,-0.163185
0.502100,0.958346,-0.163494
0.503100,0.958182,-0.163802
0.504100,0.958018,-0.164110
0.505100,0.957854,-0.164418
0.506100,0.957689,-0.164726
0.507100,0.957524,-0.165034
0.508100,0.957359,-0.165342
0.509100,0.957194,-0.165650
0.510100,0.957028,-0.165958
0.511100,0.956862,-0.166265
0.512100,0.956695,-0.166573
0.513100,0.956529,-0.166880
0.514100,0.956362,-0.167187
0.515100,0.956194,-0.167494
0.516100,0.956027,-0.167802
0.517100,0.955859,-0.168108
0.518100,0.955690,-0.168415
0.519100,0.955522,-0.168722
0.520100,0.955353,-0.169029
0.521100,0.955184,-0.169335
0.522100,0.955014,-0.169642
0.523100,0.954845,-0.169948
0.524100,0.954674,-0.170254
0.525100,0.954504,-0.170561
0.526100,0.954333,-0.170867
0.527100,0.954162,-0.171173
0.528100,0.953991,-0.171478
0.529100,0.953819,-0.171784
0.530100,0.953647,-0.172090
0.531100,0.953475,-0.172395
0.532100,0.953303,-0.172701
0.533100,0.953130,-0.173006
0.534100,0.952957,-0.173311
0.535100,0.952783,-0.173617
0.536100,0.952609,-0.173922
0.537100,0.952435,-0.174226
0.538100,0.952261,-0.174531
0.539100,0.952086,-0.174836
0.540100,0.951911,-0.175141
0.541100,0.951736,-0.175445
0.542100,0.951560,-0.175750
0.543100,0.951384,-0.176054
0.544100,0.951208,-0.176358
0.545100,0.951032,-0.176662
0.546100,0.950855,-0.176966
0.547100,0.950678,-0.177270
0.548100,0.950500,-0.177574
0.549100,0.950323,-0.177877
0.550100,0.950145,-0.178181
0.551100,0.949966,-0.178484
0.552100,0.949788,-0.178788
0.553100,0.949609,-0.179091
0.554100,0.949429,-0.179394
0.555100,0.949250,-0.179697
0.556100,0.949070,-0.180000
0.557100,0.948890,-0.180303
0.558100,0.948709,-0.180606
0.559100,0.948529,-0.180908
0.560100,0.948348,-0.181211
0.561100,0.948166,-0.181513
0.562100,0.947985,-0.181815
0.563100,0.947803,-0.182118
0.564100,0.947620,-0.182420
0.565100,0.947438,-0.182722
0.566100,0.947255,-0.183023
0.567100,0.947072,-0.183325
0.568100,0.946888,-0.183627
0.569100,0.946705,-0.183928
0.570100,0.946520,-0.184230
0.571100,0.946336,-0.184531
0.572100,0.946151,-0.184832
0.573100,0.945966,-0.185133
0.574100,0.945781,-0.185434
0.575100,0.945596,-0.185735
0.576100,0.945410,-0.186036
0.577100,0.945223,-0.186336
0.578100,0.945037,-0.186637
0.579100,0.944850,-0.186937
0.580100,0.944663,-0.187238
0.581100,0.944476,-0.187538
0.582100,0.944288,-0.187838
0.583100,0.944100,-0.188138
0.584100,0.943912,-0.188438
0.585100,0.943723,-0.188737
0.586100,0.943534,-0.189037
0.587100,0.943345,-0.189337
0.588100,0.943156,-0.189636
0.589100,0.942966,-0.189935
0.590100,0.942776,-0.190234
0.591100,0.942585,-0.190533
0.592100,0.942395,-0.190832
0.593100,0.942204,-0.191131
0.594100,0.942012,-0.191430
0.595100,0.941821,-0.191729
0.596100,0.941629,-0.192027
0.597100,0.941437,-0.192325
0.598100,0.941244,-0.192624
0.599100,0.941052,-0.192922
0.600100,0.940858,-0.193220
0.601100,0.940665,-0.193518
0.602100,0.940471,-0.193816
0.603100,0.940277,-0.194113
0.604100,0.940083,-0.194411
0.605100,0.939889,-0.194708
0.606100,0.939694,-0.195006
0.607100,0.939499,-0.195303
0.608100,0.939303,-0.195600
0.609100,0.939107,-0.195897
0.610100,0.938911,-0.196194
0.611100,0.938715,-0.196490
0.612100,0.938518,-0.196787
0.613100,0.938321,-0.197084
0.614100,0.938124,-0.197380
0.615100,0.937927,-0.197676
0.616100,0.937729,-0.197972
0.617100,0.937531,-0.198269
0.618100,0.937332,-0.198564
0.619100,0.937134,-0.198860
0.620100,0.936935,-0.199156
0.621100,0.936735,-0.199452
0.622100,0.936536,-0.199747
0.623100,0.936336,-0.200042
0.624100,0.936136,-0.200338
0.625100,0.935935,-0.200633
0.626100,0.935734,-0.200928
0.627100,0.935533,-0.201222
0.628100,0.935332,-0.201517
0.629100,0.935130,-0.201812
0.630100,0.934928,-0.202106
0.631100,0.934726,-0.202401
0.632100,0.934523,-0.202695
0.633100,0.934321,-0.202989
0.634100,0.934117,-0.203283
0.635100,0.933914,-0.203577
0.636100,0.933710,-0.203871
0.637100,0.933506,-0.204164
0.638100,0.933302,-0.204458
0.639100,0.933097,-0.204751
0.640100,0.932893,-0.205045
0.641100,0.932687,-0.205338
0.642100,0.932482,-0.205631
0.643100,0.932276,-0.205924
0.644100,0.932070,-0.206217
0.645100,0.931864,-0.206509
0.646100,0.931657,-0.206802
0.647100,0.931450,-0.207094
0.648100,0.931243,-0.207387
0.649100,0.931035,-0.207679
0.650100,0.930827,-0.207971
0.651100,0.930619,-0.208263
0.652100,0.930411,-0.208555
0.653100,0.930202,-0.208846
0.654100,0.929993,-0.209138
0.655100,0.929784,-0.209429
0.656100,0.929574,-0.209721
0.657100,0.929364,-0.210012
0.658100,0.929154,-0.210303
0.659100,0.928944,-0.210594
0.660100,0.928733,-0.210885
0.661100,0.928522,-0.211175
0.662100,0.928311,-0.211466
0.663100,0.928099,-0.211756
0.664100,0.927887,-0.212047
0.665100,0.927675,-0.212337
0.666100,0.927463,-0.212627
0.667100,0.927250,-0.212917
0.668100,0.927037,-0.213207
0.669100,0.926823,-0.213496
0.670100,0.926610,-0.213786
0.671100,0.926396,-0.214075
0.672100,0.926182,-0.214365
0.673100,0.925967,-0.214654
0.674100,0.925752,-0.214943
0.675100,0.925537,-0.215232
0.676100,0.925322,-0.215520
0.677100,0.925106,-0.215809
0.678100,0.924890,-0.216098
0.679100,0.924674,-0.216386
0.680100,0.924457,-0.216674
0.681100,0.924241,-0.216962
0.682100,0.924024,-0.217250
0.683100,0.923806,-0.217538
0.684100,0.923588,-0.217826
0.685100,0.923370,-0.218114
0.686100,0.923152,-0.218401
0.687100,0.922934,-0.218689
0.688100,0.922715,-0.218976
0.689100,0.922496,-0.219263
0.690100,0.922276,-0.219550
0.691100,0.922057,-0.219837
0.692100,0.921837,-0.220124
0.693100,0.921616,-0.220410
0.694100,0.921396,-0.220697
0.695100,0.921175,-0.220983
0.696100,0.920954,-0.221269
0.697100,0.920732,-0.221555
0.698100,0.920511,-0.221841
0.699100,0.920289,-0.222127
0.700100,0.920067,-0.222413
0.701100,0.919844,-0.222698
0.702100,0.919621,-0.222983
0.703100,0.919398,-0.223269
0.704100,0.919175,-0.223554
0.705100,0.918951,-0.223839
0.706100,0.918727,-0.224124
0.707100,0.918503,-0.224408
0.708100,0.918278,-0.224693
0.709100,0.918053,-0.224978
0.710100,0.917828,-0.225262
0.711100,0.917603,-0.225546
0.712100,0.917377,-0.225830
0.713100,0.917151,-0.226114
0.714100,0.916925,-0.226398
0.715100,0.916698,-0.226682
0.716100,0.916471,-0.226965
0.717100,0.916244,-0.227248
0.718100,0.916017,-0.227532
0.719100,0.915789,-0.227815
0.720100,0.915561,-0.228098
0.721100,0.915333,-0.228381
0.722100,0.915105,-0.228663
0.723100,0.914876,-0.228946
0.724100,0.914647,-0.229228
0.725100,0.914417,-0.229511
0.726100,0.914188,-0.229793
0.727100,0.913958,-0.230075
0.728100,0.913727,-0.230357
0.729100,0.913497,-0.230639
0.730100,0.913266,-0.230920
0.731100,0.913035,-0.231202
0.732100,0.912804,-0.231483
0.733100,0.912572,-0.231764
0.734100,0.912340,-0.232045
0.735100,0.912108,-0.232326
0.736100,0.911876,-0.232607
0.737100,0.911643,-0.232888
0.738100,0.911410,-0.233168
0.739100,0.911177,-0.233449
0.740100,0.910943,-0.233729
0.741100,0.910709,-0.234009
0.742100,0.910475,-0.234289
0.743100,0.910241,-0.234569
0.744100,0.910006,-0.234849
0.745100,0.909771,-0.235128
0.746100,0.909536,-0.235408
0.747100,0.909300,-0.235687
0.748100,0.909064,-0.235966
0.749100,0.908828,-0.236245
0.750100,0.908592,-0.236524
0.751100,0.908355,-0.236803
0.752100,0.908118,-0.237081
0.753100,0.907881,-0.237360
0.754100,0.907643,-0.237638
0.755100,0.907406,-0.237916
0.756100,0.907168,-0.238194
0.757100,0.906929,-0.238472
0.758100,0.906691,-0.238750
0.759100,0.906452,-0.239027
0.760100,0.906213,-0.239305
0.761100,0.905973,-0.239582
0.762100,0.905733,-0.239859
0.763100,0.905493,-0.240136
0.764100,0.905253,-0.240413
0.765100,0.905013,-0.240690
0.766100,0.904772,-0.240966
0.767100,0.904531,-0.241243
0.768100,0.904289,-0.241519
0.769100,0.904048,-0.241795
0.770100,0.903806,-0.242071
0.771100,0.903563,-0.242347
0.772100,0.903321,-0.242623
0.773100,0.903078,-0.242898
0.774100,0.902835,-0.243174
0.775100,0.902592,-0.243449
0.776100,0.902348,-0.243724
0.777100,0.902104,-0.243999
0.778100,0.901860,-0.244274
0.779100,0.901616,-0.244549
0.780100,0.901371,-0.244824
0.781100,0.901126,-0.245098
0.782100,0.900881,-0.245372
0.783100,0.900635,-0.245646
0.784100,0.900390,-0.245920
0.785100,0.900144,-0.246194
0.786100,0.899897,-0.246468
0.787100,0.899651,-0.246741
0.788100,0.899404,-0.247015
0.789100,0.899157,-0.247288
0.790100,0.898909,-0.247561
0.791100,0.898662,-0.247834
0.792100,0.898414,-0.248107
0.793100,0.898165,-0.248380
0.794100,0.897917,-0.248652
0.795100,0.897668,-0.248925
0.796100,0.897419,-0.249197
0.797100,0.897170,-0.249469
0.798100,0.896920,-0.249741
0.799100,0.896670,-0.250013
0.800100,0.896420,-0.250284
0.801100,0.896170,-0.250556
0.802100,0.895919,-0.250827
0.803100,0.895668,-0.251098
0.804100,0.895417,-0.251369
0.805100,0.895165,-0.251640
0.806100,0.894913,-0.251911
0.807100,0.894661,-0.252182
0.808100,0.894409,-0.252452
0.809100,0.894156,-0.252722
0.810100,0.893904,-0.252993
0.811100,0.893650,-0.253263
0.812100,0.893397,-0.253532
0.813100,0.893143,-0.253802
0.814100,0.892889,-0.254072
0.815100,0.892635,-0.254341
0.816100,0.892381,-0.254610
0.817100,0.892126,-0.254879
0.818100,0.891871,-0.255148
0.819100,0.891616,-0.255417
0.820100,0.891360,-0.255686
0.821100,0.891104,-0.255954
0.822100,0.890848,-0.256223
0.823100,0.890592,-0.256491
0.824100,0.890335,-0.256759
0.825100,0.890078,-0.257027
0.826100,0.889821,-0.257295
0.827100,0.889564,-0.257562
0.828100,0.889306,-0.257830
0.829100,0.889048,-0.258097
0.830100,0.888790,-0.258364
0.831100,0.888531,-0.258631
0.832100,0.888273,-0.258898
0.833100,0.888014,-0.259164
0.834100,0.887754,-0.259431
0.835100,0.887495,-0.259697
0.836100,0.887235,-0.259963
0.837100,0.886975,-0.260230
0.838100,0.886714,-0.260495
0.839100,0.886454,-0.260761
0.840100,0.886193,-0.261027
0.841100,0.885932,-0.261292
0.842100,0.885670,-0.261557
0.843100,0.885409,-0.261823
0.844100,0.885147,-0.262088
0.845100,0.884884,-0.262352
0.846100,0.884622,-0.262617
0.847100,0.884359,-0.262882
0.848100,0.884096,-0.263146
0.849100,0.883833,-0.263410
0.850100,0.883569,-0.263674
0.851100,0.883306,-0.263938
0.852100,0.883042,-0.264202
0.853100,0.882777,-0.264465
0.854100,0.882513,-0.264729
0.855100,0.882248,-0.264992
0.856100,0.881983,-0.265255
0.857100,0.881717,-0.265518
0.858100,0.881452,-0.265781
0.859100,0.881186,-0.266043
0.860100,0.880920,-0.266306
0.861100,0.880653,-0.266568
0.862100,0.880386,-0.266830
0.863100,0.880119,-0.267092
0.864100,0.879852,-0.267354
0.865100,0.879585,-0.267616
0.866100,0.879317,-0.267877
0.867100,0.879049,-0.268139
0.868100,0.878781,-0.268400
0.869100,0.878512,-0.268661
0.870100,0.878243,-0.268922
