massa,raggio
3.1828e+30,32344.2
3.1831e+30,32343.2
3.18339e+30,32342.1
3.18369e+30,32341.1
3.18399e+30,32340.1
3.18429e+30,32339.1
3.18459e+30,32338.1
3.18489e+30,32337.1
3.18518e+30,32336.1
3.18548e+30,32335.1
3.18578e+30,32334.1
3.18608e+30,32333.1
3.18638e+30,32332
3.18668e+30,32331
3.18697e+30,32330
3.18727e+30,32329
3.18757e+30,32328
3.18787e+30,32327
3.18817e+30,32326
3.18847e+30,32325
3.18876e+30,32324
3.18906e+30,32323
3.18936e+30,32322
3.18966e+30,32321
3.18996e+30,32319.9
3.19026e+30,32318.9
3.19055e+30,32317.9
3.19085e+30,32316.9
3.19115e+30,32315.9
3.19145e+30,32314.9
3.19175e+30,32313.9
3.19205e+30,32312.9
3.19234e+30,32311.9
3.19264e+30,32310.9
3.19294e+30,32309.9
3.19324e+30,32308.9
3.19354e+30,32307.9
3.19384e+30,32306.9
3.19414e+30,32305.9
3.19443e+30,32304.8
3.19473e+30,32303.8
3.19503e+30,32302.8
3.19533e+30,32301.8
3.19563e+30,32300.8
3.19593e+30,32299.8
3.19622e+30,32298.8
3.19652e+30,32297.8
3.19682e+30,32296.8
3.19712e+30,32295.8
3.19742e+30,32294.8
3.19772e+30,32293.8
3.19801e+30,32292.8
3.19831e+30,32291.8
3.19861e+30,32290.8
3.19891e+30,32289.8
3.19921e+30,32288.8
3.19951e+30,32287.8
3.1998e+30,32286.8
3.2001e+30,32285.8
3.2004e+30,32284.8
3.2007e+30,32283.8
3.201e+30,32282.8
3.2013e+30,32281.7
3.20159e+30,32280.7
3.20189e+30,32279.7
3.20219e+30,32278.7
3.20249e+30,32277.7
3.20279e+30,32276.7
3.20309e+30,32275.7
3.20338e+30,32274.7
3.20368e+30,32273.7
3.20398e+30,32272.7
3.20428e+30,32271.7
3.20458e+30,32270.7
3.20488e+30,32269.7
3.20517e+30,32268.7
3.20547e+30,32267.7
3.20577e+30,32266.7
3.20607e+30,32265.7
3.20637e+30,32264.7
3.20667e+30,32263.7
3.20696e+30,32262.7
3.20726e+30,32261.7
3.20756e+30,32260.7
3.20786e+30,32259.7
3.20816e+30,32258.7
3.20846e+30,32257.7
3.20875e+30,32256.7
3.20905e+30,32255.7
3.20935e+30,32254.7
3.20965e+30,32253.7
3.20995e+30,32252.7
3.21025e+30,32251.7
3.21054e+30,32250.7
3.21084e+30,32249.7
3.21114e+30,32248.7
3.21144e+30,32247.7
3.21174e+30,32246.7
3.21204e+30,32245.7
3.21233e+30,32244.7
3.21263e+30,32243.7
3.21293e+30,32242.7
3.21323e+30,32241.7
3.21353e+30,32240.7
3.21383e+30,32239.7
3.21412e+30,32238.7
3.21442e+30,32237.7
3.21472e+30,32236.7
3.21502e+30,32235.7
3.21532e+30,32234.8
3.21562e+30,32233.8
3.21591e+30,32232.8
3.21621e+30,32231.8
3.21651e+30,32230.8
3.21681e+30,32229.8
3.21711e+30,32228.8
3.21741e+30,32227.8
3.2177e+30,32226.8
3.218e+30,32225.8
3.2183e+30,32224.8
3.2186e+30,32223.8
3.2189e+30,32222.8
3.2192e+30,32221.8
3.21949e+30,32220.8
3.21979e+30,32219.8
3.22009e+30,32218.8
3.22039e+30,32217.8
3.22069e+30,32216.8
3.22099e+30,32215.8
3.22128e+30,32214.8
3.22158e+30,32213.8
3.22188e+30,32212.8
3.22218e+30,32211.9
3.22248e+30,32210.9
3.22278e+30,32209.9
3.22308e+30,32208.9
3.22337e+30,32207.9
3.22367e+30,32206.9
3.22397e+30,32205.9
3.22427e+30,32204.9
3.22457e+30,32203.9
3.22487e+30,32202.9
3.22516e+30,32201.9
3.22546e+30,32200.9
3.22576e+30,32199.9
3.22606e+30,32198.9
3.22636e+30,32197.9
3.22666e+30,32197
3.22695e+30,32196
3.22725e+30,32195
3.22755e+30,32194
3.22785e+30,32193
3.22815e+30,32192
3.22845e+30,32191
3.22874e+30,32190
3.22904e+30,32189
3.22934e+30,32188
3.22964e+30,32187
3.22994e+30,32186
3.23024e+30,32185.1
3.23053e+30,32184.1
3.23083e+30,32183.1
3.23113e+30,32182.1
3.23143e+30,32181.1
3.23173e+30,32180.1
3.23203e+30,32179.1
3.23232e+30,32178.1
3.23262e+30,32177.1
3.23292e+30,32176.1
3.23322e+30,32175.2
3.23352e+30,32174.2
3.23382e+30,32173.2
3.23411e+30,32172.2
3.23441e+30,32171.2
3.23471e+30,32170.2
3.23501e+30,32169.2
3.23531e+30,32168.2
3.23561e+30,32167.2
3.2359e+30,32166.3
3.2362e+30,32165.3
3.2365e+30,32164.3
3.2368e+30,32163.3
3.2371e+30,32162.3
3.2374e+30,32161.3
3.23769e+30,32160.3
3.23799e+30,32159.3
3.23829e+30,32158.3
3.23859e+30,32157.4
3.23889e+30,32156.4
3.23919e+30,32155.4
3.23948e+30,32154.4
3.23978e+30,32153.4
3.24008e+30,32152.4
3.24038e+30,32151.4
3.24068e+30,32150.4
3.24098e+30,32149.5
3.24127e+30,32148.5
3.24157e+30,32147.5
3.24187e+30,32146.5
3.24217e+30,32145.5
3.24247e+30,32144.5
3.24277e+30,32143.5
3.24306e+30,32142.6
3.24336e+30,32141.6
3.24366e+30,32140.6
3.24396e+30,32139.6
3.24426e+30,32138.6
3.24456e+30,32137.6
3.24485e+30,32136.6
3.24515e+30,32135.7
3.24545e+30,32134.7
3.24575e+30,32133.7
3.24605e+30,32132.7
3.24635e+30,32131.7
3.24664e+30,32130.7
3.24694e+30,32129.8
3.24724e+30,32128.8
3.24754e+30,32127.8
3.24784e+30,32126.8
3.24814e+30,32125.8
3.24843e+30,32124.8
3.24873e+30,32123.9
3.24903e+30,32122.9
3.24933e+30,32121.9
3.24963e+30,32120.9
3.24993e+30,32119.9
3.25022e+30,32118.9
3.25052e+30,32118
3.25082e+30,32117
3.25112e+30,32116
3.25142e+30,32115
3.25172e+30,32114
3.25201e+30,32113
3.25231e+30,32112.1
3.25261e+30,32111.1
3.25291e+30,32110.1
3.25321e+30,32109.1
3.25351e+30,32108.1
3.25381e+30,32107.2
3.2541e+30,32106.2
3.2544e+30,32105.2
3.2547e+30,32104.2
3.255e+30,32103.2
3.2553e+30,32102.2
3.2556e+30,32101.3
3.25589e+30,32100.3
3.25619e+30,32099.3
3.25649e+30,32098.3
3.25679e+30,32097.3
3.25709e+30,32096.4
3.25739e+30,32095.4
3.25768e+30,32094.4
3.25798e+30,32093.4
3.25828e+30,32092.4
3.25858e+30,32091.5
3.25888e+30,32090.5
3.25918e+30,32089.5
3.25947e+30,32088.5
3.25977e+30,32087.6
3.26007e+30,32086.6
3.26037e+30,32085.6
3.26067e+30,32084.6
3.26097e+30,32083.6
3.26126e+30,32082.7
3.26156e+30,32081.7
3.26186e+30,32080.7
3.26216e+30,32079.7
3.26246e+30,32078.7
3.26276e+30,32077.8
3.26305e+30,32076.8
3.26335e+30,32075.8
3.26365e+30,32074.8
3.26395e+30,32073.9
3.26425e+30,32072.9
3.26455e+30,32071.9
3.26484e+30,32070.9
3.26514e+30,32069.9
3.26544e+30,32069
3.26574e+30,32068
3.26604e+30,32067
3.26634e+30,32066
3.26663e+30,32065.1
3.26693e+30,32064.1
3.26723e+30,32063.1
3.26753e+30,32062.1
